,Año y Mes,Índice Global,Valor Agregado,"Agricultura, ganadería, caza y silvicultura ",Pesca y acuicultura ,"Extraccion de petróleo, gas, minerales y servicios conexos ",Manufactura ,"Electricidad, gas, suministro de agua, alcantarillado y gestión de desechos y saneamiento ",Construcción ,Comercio y mantenimiento y reparación de vehículos automotores y motocicletas ,Otros Servicios,Derechos de Importación y Otros Impuestos a los productos (*)
0,2012-01,5.274689088050621,5.121409329488273,5.829946595464847,-26.183620194486934,-2.7442736692825207,0.9775409460899738,5.56852947117828,13.835912191083267,7.751238910188363,8.26003711800169,6.915319987801595
1,2012-02,6.703555356736942,6.5953505280798055,5.314836486810577,-30.566395106140902,3.188906993579849,2.348837950354337,7.06632483798073,13.808728629466344,9.795500727510543,8.044156293389307,7.846624949039764
2,2012-03,5.385426048724511,5.626822715464158,4.831955678162984,-34.39502980890363,6.025304070207312,-2.709312017793607,5.50922400969975,20.20681806978982,7.277939771663384,7.017211679015162,2.922003599682313
3,2012-04,2.675504917569029,2.7887826919910594,0.6234158326461596,-72.9344074861088,5.415708343412959,-6.806960119007499,4.92429375222558,14.722450939374923,6.0530418125861445,6.594735909482523,1.4048535703649065
4,2012-05,6.357409801034009,6.099876778345887,15.35030844631558,3.8009545797718545,2.7176130427741185,-0.16713393608306149,5.106057588907589,20.296527049736028,6.302725150728492,6.047668959859223,9.1727536257755
5,2012-06,6.943523548293612,6.891384432123118,14.892538399409872,32.46696369355672,3.8243960544680675,0.7230200015781776,4.471744107171617,22.207146472886237,6.95767052395675,6.403579801667107,7.5364454156812855
6,2012-07,6.590757748711738,6.411814670964432,3.1938498142405507,17.079064369158942,5.449580838069394,2.1835955498459327,5.432230364004425,17.863427476031404,6.694847251550982,6.978313008007532,8.639317860529829
7,2012-08,6.373786571415721,6.404784174218904,6.3703279020241865,-24.70561656468962,2.1566516930098203,2.330321547673691,5.2638805964285496,23.55167679433852,6.413422480406197,7.007533856693499,6.044003407341947
8,2012-09,6.056282582203011,6.085763990678032,6.6169004047027755,-6.417211531004924,3.0102976387933182,2.8105394397476005,3.8514274010323533,19.391265651774063,5.6631259287754006,6.398545539559123,5.743482352212226
9,2012-10,6.764161579706695,6.447509310862102,6.821367804492226,0.39283405242795766,-0.7242899041710018,5.354694969339462,3.6708958947400134,16.76006743947029,5.7487736533750535,7.5889929487008345,10.021383826858738
10,2012-11,5.497615215301252,5.2456980289330915,3.3974323269132327,-54.37071284369981,-0.08378014379150045,2.1381325916911607,5.502150887726415,16.059123458103144,6.0957235676327315,7.181138813691518,8.12691335217795
11,2012-12,2.9466683840527708,2.9474260620287396,14.119089911444235,-60.86655208597617,-1.0327199727120444,-4.302915538333735,4.453790145886131,1.6026189704759162,7.274411111267739,6.898698639388414,2.9379112165586605
12,2013-01,6.070823943095306,5.610526495648614,6.505005389112185,23.8379224888466,-2.282115910289221,4.254763829779137,5.952740973556288,17.55717513491865,5.304157437926648,6.718258028920189,10.914954954769485
13,2013-02,4.83764606101127,4.723030021819994,6.633362638426178,8.654352786802136,-0.0588145971584737,-0.7632716583814982,3.7733644444817287,12.207124811050619,5.702063426550666,6.611955743676006,6.034395218019569
14,2013-03,3.388188127038049,3.5503784071390783,7.820163573802645,5.893718802647555,-1.5593473196005618,0.13355755999479868,3.906533211403371,5.9144426279538465,4.342681853792868,5.272763027626979,1.689559520078987
15,2013-04,8.703584833940752,8.409300492843059,0.46259383844554236,-14.93243447849406,7.399106109432239,8.046667839129569,5.9663952369438675,32.26677096749245,7.593495845539451,7.206331889497733,12.049661041379878
16,2013-05,4.237826878039257,4.24650312574056,-1.9386806802353362,-22.10562909302098,4.655951798381608,0.26395340950604407,5.497843891429881,9.732200559570558,6.590285285213909,6.130646291023496,4.145648073197279
17,2013-06,5.869936274690971,6.0571169666229,1.301661224891589,5.372905243992562,9.058801159925167,6.894451464730238,5.955174209511725,4.870305292494464,4.95321490013545,6.29164125432915,3.7541008886507115
18,2013-07,5.3392631280453315,5.472091624277667,-1.836266200320992,-18.84629803297507,6.419062968929623,0.8291495819139953,6.55116101585844,20.555996810833932,4.503093873091444,6.190067107085213,3.8498064198326745
19,2013-08,5.589051507736187,5.885229730886124,0.7493718755834777,48.55081203546868,10.106569715531492,1.7206824389881774,4.964803868132918,7.642246314273393,5.58670487849966,6.403761312727468,2.427294171039037
20,2013-09,4.973550310007965,5.182582340365499,3.6733977498946615,26.07730448800656,1.9065895032174467,6.745879719074807,5.915765785838786,-1.0564991967200115,5.580721926069714,6.601059503615673,2.748523878700837
21,2013-10,6.325127614922906,6.587513850373085,6.075856880781515,22.210633430204595,6.7717161947269915,6.091221355803285,6.9827194204899286,6.281348225434982,6.326769582030778,6.798963085381885,3.7137827044649185
22,2013-11,7.4706532401956025,8.168489946375004,7.49595771800584,286.11530060628013,8.179586161808203,12.441256394409407,4.688450320924261,2.732458187003857,6.712538467020153,6.30787462463158,0.38130363924055644
23,2013-12,7.129540160887544,7.44892301249844,1.7443907517895383,86.79544499718855,7.3622084295373185,12.415760960793904,5.142306342988022,4.670087579496652,7.129544049086107,6.258557824209106,3.4378033816473845
24,2014-01,4.2364420699941405,4.567441770712264,2.8043661476878867,-18.0883267298846,5.6666592628565695,-0.30124458280799615,4.989984221244413,4.092372668838678,4.676311259291481,6.766316677132835,0.9196212153445913
25,2014-02,5.246488919913489,5.710545998093082,-0.8517561499644302,16.148249472629317,7.5787912307244625,3.8926459867918624,6.126504472404321,8.360591177691276,5.261674725144431,6.307803277427155,0.46101921819288805
